$inflow Tw is used for Tw of qdt year 2018 YC 03/14/2023,
9.417,10
9.458,10
9.5,10
9.542,10
9.583,10
9.625,10
9.667,10
9.708,10
9.75,10
9.792,10
9.833,10
9.875,10
9.917,10
9.958,10
10,10
10.042,10
10.083,10
10.125,10
10.167,10
10.208,10
10.25,10
10.292,10
10.333,10
10.375,10
10.417,10
10.458,10
10.5,10
10.542,10
10.583,10
10.625,10
10.667,10
10.708,10
10.75,10
10.792,10
10.833,10
10.875,10
10.917,10
10.958,10
11,10
11.042,10
11.083,10
11.125,10
11.167,10
11.208,10
11.25,10
11.292,10
11.333,10
11.375,10
11.417,10
11.458,10
11.5,10
11.542,10
11.583,10
11.625,10
11.667,10
11.708,10
11.75,10
11.792,10
11.833,10
11.875,10
11.917,10
11.958,10
12,10
12.042,10
12.083,10
12.125,10
12.167,10
12.208,10
12.25,10
12.292,10
12.333,10
12.375,10
12.417,10
12.458,10
12.5,10
12.542,10
12.583,10
12.625,10
12.667,10
12.708,10
12.75,10
12.792,10
12.833,10
12.875,10
12.917,10
12.958,10
13,10
13.042,10
13.083,10
13.125,10
13.167,10
13.208,10
13.25,10
13.292,10
13.333,10
13.375,10
13.417,10
13.458,10
13.5,10
13.542,10
13.583,10
13.625,10
13.667,10
13.708,10
13.75,10
13.792,10
13.833,10
13.875,10
13.917,10
13.958,10
14,10
14.042,10
14.083,10
14.125,10
14.167,10
14.208,10
14.25,10
14.292,10
14.333,10
14.375,10
14.417,10
14.458,10
14.5,10
14.542,10
14.583,10
14.625,10
14.667,10
14.708,10
14.75,10
14.792,10
14.833,10
14.875,10
14.917,10
14.958,10
15,10
15.042,10
15.083,10
15.125,10
15.167,10
15.208,10
15.25,10
15.292,10
15.333,10
15.375,10
15.417,10
15.458,10
15.5,10
15.542,10
15.583,10
15.625,10
15.667,10
15.708,10
15.75,10
15.792,10
15.833,10
15.875,10
15.917,10
15.958,10
16,10
16.042,10
16.083,10
16.125,10
16.167,10
16.208,10
16.25,10
16.292,10
16.333,10
16.375,10
16.417,10
16.458,10
16.5,10
16.542,10
16.583,10
16.625,10
16.667,10
16.708,10
16.75,10
16.792,10
16.833,10
16.875,10
16.917,10
16.958,10
17,10
17.042,10
17.083,10
17.125,10
17.167,10
17.208,10
17.25,10
17.292,10
17.333,10
17.375,10
17.417,10
17.458,10
17.5,10
17.542,10
17.583,10
17.625,10
17.667,10
17.708,10
17.75,10
17.792,10
17.833,10
17.875,10
17.917,10
17.958,10
18,10
18.042,10
18.083,10
18.125,10
18.167,10
18.208,10
18.25,10
18.292,10
18.333,10
18.375,10
18.417,10
18.458,10
18.5,10
18.542,10
18.583,10
18.625,10
18.667,10
18.708,10
18.75,10
18.792,10
18.833,10
18.875,10
18.917,10
18.958,10
19,10
19.042,10
19.083,10
19.125,10
19.167,10
19.208,10
19.25,10
19.292,10
19.333,10
19.375,10
19.417,10
19.458,10
19.5,10
19.542,10
19.583,10
19.625,10
19.667,10
19.708,10
19.75,10
19.792,10
19.833,10
19.875,10
19.917,10
19.958,10
20,10
20.042,10
20.083,10
20.125,10
20.167,10
20.208,10
20.25,10
20.292,10
20.333,10
20.375,10
20.417,10
20.458,10
20.5,10
20.542,10
20.583,10
20.625,10
20.667,10
20.708,10
20.75,10
20.792,10
20.833,10
20.875,10
20.917,10
20.958,10
21,10
21.042,10
21.083,10
21.125,10
21.167,10
21.208,10
21.25,10
21.292,10
21.333,10
21.375,10
21.417,10
21.458,10
21.5,10
21.542,10
21.583,10
21.625,10
21.667,10
21.708,10
21.75,10
21.792,10
21.833,10
21.875,10
21.917,10
21.958,10
22,10
22.042,10
22.083,10
22.125,10
22.167,10
22.208,10
22.25,10
22.292,10
22.333,10
22.375,10
22.417,10
22.458,10
22.5,10
22.542,10
22.583,10
22.625,10
22.667,10
22.708,10
22.75,10
22.792,10
22.833,10
22.875,10
22.917,10
22.958,10
23,10
23.042,10
23.083,10
23.125,10
23.167,10
23.208,10
23.25,10
23.292,10
23.333,10
23.375,10
23.417,10
23.458,10
23.5,10
23.542,10
23.583,10
23.625,10
23.667,10
23.708,10
23.75,10
23.792,10
23.833,10
23.875,10
23.917,10
23.958,10
24,10
24.042,10
24.083,10
24.125,10
24.167,10
24.208,10
24.25,10
24.292,10
24.333,10
24.375,10
24.417,10
24.458,10
24.5,10
24.542,10
24.583,10
24.625,10
24.667,10
24.708,10
24.75,10
24.792,10
24.833,10
24.875,10
24.917,10
24.958,10
25,10
25.042,10
25.083,10
25.125,10
25.167,10
25.208,10
25.25,10
25.292,10
25.333,10
25.375,10
25.417,10
25.458,10
25.5,10
25.542,10
25.583,10
25.625,10
25.667,10
25.708,10
25.75,10
25.792,10
25.833,10
25.875,10
25.917,10
25.958,10
26,10
26.042,10
26.083,10
26.125,10
26.167,10
26.208,10
26.25,10
26.292,10
26.333,10
26.375,10
26.417,10
26.458,10
26.5,10
26.542,10
26.583,10
26.625,10
26.667,10
26.708,10
26.75,10
26.792,10
26.833,10
26.875,10
26.917,10
26.958,10
27,10
27.042,10
27.083,10
27.125,10
27.167,10
27.208,10
27.25,10
27.292,10
27.333,10
27.375,10
27.417,10
27.458,10
27.5,10
27.542,10
27.583,10
27.625,10
27.667,10
27.708,10
27.75,10
27.792,10
27.833,10
27.875,10
27.917,10
27.958,10
28,10
28.042,10
28.083,10
28.125,10
28.167,10
28.208,10
28.25,10
28.292,10
28.333,10
28.375,10
28.417,10
28.458,10
28.5,10
28.542,10
28.583,10
28.625,10
28.667,10
28.708,10
28.75,10
28.792,10
28.833,10
28.875,10
28.917,10
28.958,10
29,10
29.042,10
29.083,10
29.125,10
29.167,10
29.208,10
29.25,10
29.292,10
29.333,10
29.375,10
29.417,10
29.458,10
29.5,10
29.542,10
29.583,10
29.625,10
29.667,10
29.708,10
29.75,10
29.792,10
29.833,10
29.875,10
29.917,10
29.958,10
30,10
30.042,10
30.083,10
30.125,10
30.167,10
30.208,10
30.25,10
30.292,10
30.333,10
30.375,10
30.417,10
30.458,10
30.5,10
30.542,10
30.583,10
30.625,10
30.667,10
30.708,10
30.75,10
30.792,10
30.833,10
30.875,10
30.917,10
30.958,10
31,10
31.042,10
31.083,10
31.125,10
31.167,10
31.208,10
31.25,10
31.292,10
31.333,10
31.375,10
31.417,10
31.458,10
31.5,10
31.542,10
31.583,10
31.625,10
31.667,10
31.708,10
31.75,10
31.792,10
31.833,10
31.875,10
31.917,10
31.958,10
32,10
32.042,10
32.083,10
32.125,10
32.167,10
32.208,10
32.25,10
32.292,10
32.333,10
32.375,10
32.417,10
32.458,10
32.5,10
32.542,10
32.583,10
32.625,10
32.667,10
32.708,10
32.75,10
32.792,10
32.833,10
32.875,10
32.917,10
32.958,10
33,10
33.042,10
33.083,10
33.125,10
33.167,10
33.208,10
33.25,10
33.292,10
33.333,10
33.375,10
33.417,10
33.458,10
33.5,10
33.542,10
33.583,10
33.625,10
33.667,10
33.708,10
33.75,10
33.792,10
33.833,10
33.875,10
33.917,10
33.958,10
34,10
34.042,10
34.083,10
34.125,10
34.167,10
34.208,10
34.25,10
34.292,10
34.333,10
34.375,10
34.417,10
34.458,10
34.5,10
34.542,10
34.583,10
34.625,10
34.667,10
34.708,10
34.75,10
34.792,10
34.833,10
34.875,10
34.917,10
34.958,10
35,10
35.042,10
35.083,10
35.125,10
35.167,10
35.208,10
35.25,10
35.292,10
35.333,10
35.375,10
35.417,10
35.458,10
35.5,10
35.542,10
35.583,10
35.625,10
35.667,10
35.708,10
35.75,10
35.792,10
35.833,10
35.875,10
35.917,10
35.958,10
36,10
36.042,10
36.083,10
36.125,10
36.167,10
36.208,10
36.25,10
36.292,10
36.333,10
36.375,10
36.417,10
36.458,10
36.5,10
36.542,10
36.583,10
36.625,10
36.667,10
36.708,10
36.75,10
36.792,10
36.833,10
36.875,10
36.917,10
36.958,10
37,10
37.042,10
37.083,10
37.125,10
37.167,10
37.208,10
37.25,10
37.292,10
37.333,10
37.375,10
37.417,10
37.458,10
37.5,10
37.542,10
37.583,10
37.625,10
37.667,10
37.708,10
37.75,10
37.792,10
37.833,10
37.875,10
37.917,10
37.958,10
38,10
38.042,10
38.083,10
38.125,10
38.167,10
38.208,10
38.25,10
38.292,10
38.333,10
38.375,10
38.417,10
38.458,10
38.5,10
38.542,10
38.583,10
38.625,10
38.667,10
38.708,10
38.75,10
38.792,10
38.833,10
38.875,10
38.917,10
38.958,10
39,10
39.042,10
39.083,10
39.125,10
39.167,10
39.208,10
39.25,10
39.292,10
39.333,10
39.375,10
39.417,10
39.458,10
39.5,10
39.542,10
39.583,10
39.625,10
39.667,10
39.708,10
39.75,10
39.792,10
39.833,10
39.875,10
39.917,10
39.958,10
40,10
40.042,10
40.083,10
40.125,10
40.167,10
40.208,10
40.25,10
40.292,10
40.333,10
40.375,10
40.417,10
40.458,10
40.5,10
40.542,10
40.583,10
40.625,10
40.667,10
40.708,10
40.75,10
40.792,10
40.833,10
40.875,10
40.917,10
40.958,10
41,10
41.042,10
41.083,10
41.125,10
41.167,10
41.208,10
41.25,10
41.292,10
41.333,10
41.375,10
41.417,10
41.458,10
41.5,10
41.542,10
41.583,10
41.625,10
41.667,10
41.708,10
41.75,10
41.792,10
41.833,10
41.875,10
41.917,10
41.958,10
42,10
42.042,10
42.083,10
42.125,10
42.167,10
42.208,10
42.25,10
42.292,10
42.333,10
42.375,10
42.417,10
42.458,10
42.5,10
42.542,10
42.583,10
42.625,10
42.667,10
42.708,10
42.75,10
42.792,10
42.833,10
42.875,10
42.917,10
42.958,10
43,10
43.042,10
43.083,10
43.125,10
43.167,10
43.208,10
43.25,10
43.292,10
43.333,10
43.375,10
43.417,10
43.458,10
43.5,10
43.542,10
43.583,10
43.625,10
43.667,10
43.708,10
43.75,10
43.792,10
43.833,10
43.875,10
43.917,10
43.958,10
44,10
44.042,10
44.083,10
44.125,10
44.167,10
44.208,10
44.25,10
44.292,10
44.333,10
44.375,10
44.417,10
44.458,10
44.5,10
44.542,10
44.583,10
44.625,10
44.667,10
44.708,10
44.75,10
44.792,10
44.833,10
44.875,10
44.917,10
44.958,10
45,10
45.042,10
45.083,10
45.125,10
45.167,10
45.208,10
45.25,10
45.292,10
45.333,10
45.375,10
45.417,10
45.458,10
45.5,10
45.542,10
45.583,10
45.625,10
45.667,10
45.708,10
45.75,10
45.792,10
45.833,10
45.875,10
45.917,10
45.958,10
46,10
46.042,10
46.083,10
46.125,10
46.167,10
46.208,10
46.25,10
46.292,10
46.333,10
46.375,10
46.417,10
46.458,10
46.5,10
46.542,10
46.583,10
46.625,10
46.667,10
46.708,10
46.75,10
46.792,10
46.833,10
46.875,10
46.917,10
46.958,10
47,10
47.042,10
47.083,10
47.125,10
47.167,10
47.208,10
47.25,10
47.292,10
47.333,10
47.375,10
47.417,10
47.458,10
47.5,10
47.542,10
47.583,10
47.625,10
47.667,10
47.708,10
47.75,10
47.792,10
47.833,10
47.875,10
47.917,10
47.958,10
48,10
48.042,10
48.083,10
48.125,10
48.167,10
48.208,10
48.25,10
48.292,10
48.333,10
48.375,10
48.417,10
48.458,10
48.5,10
48.542,10
48.583,10
48.625,10
48.667,10
48.708,10
48.75,10
48.792,10
48.833,10
48.875,10
48.917,10
48.958,10
49,10
49.042,10
49.083,10
49.125,10
49.167,10
49.208,10
49.25,10
49.292,10
49.333,10
49.375,10
49.417,10
49.458,10
49.5,10
49.542,10
49.583,10
49.625,10
49.667,10
49.708,10
49.75,10
49.792,10
49.833,10
49.875,10
49.917,10
49.958,10
50,10
50.042,10
50.083,10
50.125,10
50.167,10
50.208,10
50.25,10
50.292,10
50.333,10
50.375,10
50.417,10
50.458,10
50.5,10
50.542,10
50.583,10
50.625,10
50.667,10
50.708,10
50.75,10
50.792,10
50.833,10
50.875,10
50.917,10
50.958,10
51,10
51.042,10
51.083,10
51.125,10
51.167,10
51.208,10
51.25,10
51.292,10
51.333,10
51.375,10
51.417,10
51.458,10
51.5,10
51.542,10
51.583,10
51.625,10
51.667,10
51.708,10
51.75,10
51.792,10
51.833,10
51.875,10
51.917,10
51.958,10
52,10
52.042,10
52.083,10
52.125,10
52.167,10
52.208,10
52.25,10
52.292,10
52.333,10
52.375,10
52.417,10
52.458,10
52.5,10
52.542,10
52.583,10
52.625,10
52.667,10
52.708,10
52.75,10
52.792,10
52.833,10
52.875,10
52.917,10
52.958,10
53,10
53.042,10
53.083,10
53.125,10
53.167,10
53.208,10
53.25,10
53.292,10
53.333,10
53.375,10
53.417,10
53.458,10
53.5,10
53.542,10
53.583,10
53.625,10
53.667,10
53.708,10
53.75,10
53.792,10
53.833,10
53.875,10
53.917,10
53.958,10
54,10
54.042,10
54.083,10
54.125,10
54.167,10
54.208,10
54.25,10
54.292,10
54.333,10
54.375,10
54.417,10
54.458,10
54.5,10
54.542,10
54.583,10
54.625,10
54.667,10
54.708,10
54.75,10
54.792,10
54.833,10
54.875,10
54.917,10
54.958,10
55,10
55.042,10
55.083,10
55.125,10
55.167,10
55.208,10
55.25,10
55.292,10
55.333,10
55.375,10
55.417,10
55.458,10
55.5,10
55.542,10
55.583,10
55.625,10
55.667,10
55.708,10
55.75,10
55.792,10
55.833,10
55.875,10
55.917,10
55.958,10
56,10
56.042,10
56.083,10
56.125,10
56.167,10
56.208,10
56.25,10
56.292,10
56.333,10
56.375,10
56.417,10
56.458,10
56.5,10
56.542,10
56.583,10
56.625,10
56.667,10
56.708,10
56.75,10
56.792,10
56.833,10
56.875,10
56.917,10
56.958,10
57,10
57.042,10
57.083,10
57.125,10
57.167,10
57.208,10
57.25,10
57.292,10
57.333,10
57.375,10
57.417,10
57.458,10
57.5,10
57.542,10
57.583,10
57.625,10
57.667,10
57.708,10
57.75,10
57.792,10
57.833,10
57.875,10
57.917,10
57.958,10
58,10
58.042,10
58.083,10
58.125,10
58.167,10
58.208,10
58.25,10
58.292,10
58.333,10
58.375,10
58.417,10
58.458,10
58.5,10
58.542,10
58.583,10
58.625,10
58.667,10
58.708,10
58.75,10
58.792,10
58.833,10
58.875,10
58.917,10
58.958,10
59,10
59.042,10
59.083,10
59.125,10
59.167,10
59.208,10
59.25,10
59.292,10
59.333,10
59.375,10
59.417,10
59.458,10
59.5,10
59.542,10
59.583,10
59.625,10
59.667,10
59.708,10
59.75,10
59.792,10
59.833,10
59.875,10
59.917,10
59.958,10
60,10
60.042,10
60.083,10
60.125,10
60.167,10
60.208,10
60.25,10
60.292,10
60.333,10
60.375,10
60.417,10
60.458,10
60.5,10
60.542,10
60.583,10
60.625,10
60.667,10
60.708,10
60.75,10
60.792,10
60.833,10
60.875,10
60.917,10
60.958,10
61,10
61.042,10
61.083,10
61.125,10
61.167,10
61.208,10
61.25,10
61.292,10
61.333,10
61.375,10
61.417,10
61.458,10
61.5,10
61.542,10
61.583,10
61.625,10
61.667,10
61.708,10
61.75,10
61.792,10
61.833,10
61.875,10
61.917,10
61.958,10
62,10
62.042,10
62.083,10
62.125,10
62.167,10
62.208,10
62.25,10
62.292,10
62.333,10
62.375,10
62.417,10
62.458,10
62.5,10
62.542,10
62.583,10
62.625,10
62.667,10
62.708,10
62.75,10
62.792,10
62.833,10
62.875,10
62.917,10
62.958,10
63,10
63.042,10
63.083,10
63.125,10
63.167,10
63.208,10
63.25,10
63.292,10
63.333,10
63.375,10
63.417,10
63.458,10
63.5,10
63.542,10
63.583,10
63.625,10
63.667,10
63.708,10
63.75,10
63.792,10
63.833,10
63.875,10
63.917,10
63.958,10
64,10
64.042,10
64.083,10
64.125,10
64.167,10
64.208,10
64.25,10
64.292,10
64.333,10
64.375,10
64.417,10
64.458,10
64.5,10
64.542,10
64.583,10
64.625,10
64.667,10
64.708,10
64.75,10
64.792,10
64.833,10
64.875,10
64.917,10
64.958,10
65,10
65.042,10
65.083,10
65.125,10
65.167,10
65.208,10
65.25,10
65.292,10
65.333,10
65.375,10
65.417,10
65.458,10
65.5,10
65.542,10
65.583,10
65.625,10
65.667,10
65.708,10
65.75,10
65.792,10
65.833,10
65.875,10
65.917,10
65.958,10
66,10
66.042,10
66.083,10
66.125,10
66.167,10
66.208,10
66.25,10
66.292,10
66.333,10
66.375,10
66.417,10
66.458,10
66.5,10
66.542,10
66.583,10
66.625,10
66.667,10
66.708,10
66.75,10
66.792,10
66.833,10
66.875,10
66.917,10
66.958,10
67,10
67.042,10
67.083,10
67.125,10
67.167,10
67.208,10
67.25,10
67.292,10
67.333,10
67.375,10
67.417,10
67.458,10
67.5,10
67.542,10
67.583,10
67.625,10
67.667,10
67.708,10
67.75,10
67.792,10
67.833,10
67.875,10
67.917,10
67.958,10
68,10
68.042,10
68.083,10
68.125,10
68.167,10
68.208,10
68.25,10
68.292,10
68.333,10
68.375,10
68.417,10
68.458,10
68.5,10
68.542,10
68.583,10
68.625,10
68.667,10
68.708,10
68.75,10
68.792,10
68.833,10
68.875,10
68.917,10
68.958,10
69,10
69.042,10
69.083,10
69.125,10
69.167,10
69.208,10
69.25,10
69.292,10
69.333,10
69.375,10
69.417,10
69.458,10
69.5,10
69.542,10
69.583,10
69.625,10
69.667,10
69.708,10
69.75,10
69.792,10
69.833,10
69.875,10
69.917,10
69.958,10
70,10
70.042,10
70.083,10
70.125,10
70.167,10
70.208,10
70.25,10
70.292,10
70.333,10
70.375,10
70.417,10
70.458,10
70.5,10
70.542,10
70.583,10
70.625,10
70.667,10
70.708,10
70.75,10
70.792,10
70.833,10
70.875,10
70.917,10
70.958,10
71,10
71.042,10
71.083,10
71.125,10
71.167,10
71.208,10
71.25,10
71.292,10
71.333,10
71.375,10
71.417,10
71.458,10
71.5,10
71.542,10
71.583,10
71.625,10
71.667,10
71.708,10
71.75,10
71.792,10
71.833,10
71.875,10
71.917,10
71.958,10
72,10
72.042,10
72.083,10
72.125,10
72.167,10
72.208,10
72.25,10
72.292,10
72.333,10
72.375,10
72.417,10
72.458,10
72.5,10
72.542,10
72.583,10
72.625,10
72.667,10
72.708,10
72.75,10
72.792,10
72.833,10
72.875,10
72.917,10
72.958,10
73,10
73.042,10
73.083,10
73.125,10
73.167,10
73.208,10
73.25,10
73.292,10
73.333,10
73.375,10
73.417,10
73.458,10
73.5,10
73.542,10
73.583,10
73.625,10
73.667,10
73.708,10
73.75,10
73.792,10
73.833,10
73.875,10
73.917,10
73.958,10
74,10
74.042,10
74.083,10
74.125,10
74.167,10
74.208,10
74.25,10
74.292,10
74.333,10
74.375,10
74.417,10
74.458,10
74.5,10
74.542,10
74.583,10
74.625,10
74.667,10
74.708,10
74.75,10
74.792,10
74.833,10
74.875,10
74.917,10
74.958,10
75,10
75.042,10
75.083,10
75.125,10
75.167,10
75.208,10
75.25,10
75.292,10
75.333,10
75.375,10
75.417,10
75.458,10
75.5,10
75.542,10
75.583,10
75.625,10
75.667,10
75.708,10
75.75,10
75.792,10
75.833,10
75.875,10
75.917,10
75.958,10
76,10
76.042,10
76.083,10
76.125,10
76.167,10
76.208,10
76.25,10
76.292,10
76.333,10
76.375,10
76.417,10
76.458,10
76.5,10
76.542,10
76.583,10
76.625,10
76.667,10
76.708,10
76.75,10
76.792,10
76.833,10
76.875,10
76.917,10
76.958,10
77,10
77.042,10
77.083,10
77.125,10
77.167,10
77.208,10
77.25,10
77.292,10
77.333,10
77.375,10
77.417,10
77.458,10
77.5,10
77.542,10
77.583,10
77.625,10
77.667,10
77.708,10
77.75,10
77.792,10
77.833,10
77.875,10
77.917,10
77.958,10
78,10
78.042,10
78.083,10
78.125,10
78.167,10
78.208,10
78.25,10
78.292,10
78.333,10
78.375,10
78.417,10
78.458,10
78.5,10
78.542,10
78.583,10
78.625,10
78.667,10
78.708,10
78.75,10
78.792,10
78.833,10
78.875,10
78.917,10
78.958,10
79,10
79.042,10
79.083,10
79.125,10
79.167,10
79.208,10
79.25,10
79.292,10
79.333,10
79.375,10
79.417,10
79.458,10
79.5,10
79.542,10
79.583,10
79.625,10
79.667,10
79.708,10
79.75,10
79.792,10
79.833,10
79.875,10
79.917,10
79.958,10
80,10
80.042,10
80.083,10
80.125,10
80.167,10
80.208,10
80.25,10
80.292,10
80.333,10
80.375,10
80.417,10
80.458,10
80.5,10
80.542,10
80.583,10
80.625,10
80.667,10
80.708,10
80.75,10
80.792,10
80.833,10
80.875,10
80.917,10
80.958,10
81,10
81.042,10
81.083,10
81.125,10
81.167,10
81.208,10
81.25,10
81.292,10
81.333,10
81.375,10
81.417,10
81.458,10
81.5,10
81.542,10
81.583,10
81.625,10
81.667,10
81.708,10
81.75,10
81.792,10
81.833,10
81.875,10
81.917,10
81.958,10
82,10
82.042,10
82.083,10
82.125,10
82.167,10
82.208,10
82.25,10
82.292,10
82.333,10
82.375,10
82.417,10
82.458,10
82.5,10
82.542,10
82.583,10
82.625,10
82.667,10
82.708,10
82.75,10
82.792,10
82.833,10
82.875,10
82.917,10
82.958,10
83,10
83.042,10
83.083,10
83.125,10
83.167,10
83.208,10
83.25,10
83.292,10
83.333,10
83.375,10
83.417,10
83.458,10
83.5,10
83.542,10
83.583,10
83.625,10
83.667,10
83.708,10
83.75,10
83.792,10
83.833,10
83.875,10
83.917,10
83.958,10
84,10
84.042,10
84.083,10
84.125,10
84.167,10
84.208,10
84.25,10
84.292,10
84.333,10
84.375,10
84.417,10
84.458,10
84.5,10
84.542,10
84.583,10
84.625,10
84.667,10
84.708,10
84.75,10
84.792,10
84.833,10
84.875,10
84.917,10
84.958,10
85,10
85.042,10
85.083,10
85.125,10
85.167,10
85.208,10
85.25,10
85.292,10
85.333,10
85.375,10
85.417,10
85.458,10
85.5,10
85.542,10
85.583,10
85.625,10
85.667,10
85.708,10
85.75,10
85.792,10
85.833,10
85.875,10
85.917,10
85.958,10
86,10
86.042,10
86.083,10
86.125,10
86.167,10
86.208,10
86.25,10
86.292,10
86.333,10
86.375,10
86.417,10
86.458,10
86.5,10
86.542,10
86.583,10
86.625,10
86.667,10
86.708,10
86.75,10
86.792,10
86.833,10
86.875,10
86.917,10
86.958,10
87,10
87.042,10
87.083,10
87.125,10
87.167,10
87.208,10
87.25,10
87.292,10
87.333,10
87.375,10
87.417,10
87.458,10
87.5,10
87.542,10
87.583,10
87.625,10
87.667,10
87.708,10
87.75,10
87.792,10
87.833,10
87.875,10
87.917,10
87.958,10
88,10
88.042,10
88.083,10
88.125,10
88.167,10
88.208,10
88.25,10
88.292,10
88.333,10
88.375,10
88.417,10
88.458,10
88.5,10
88.542,10
88.583,10
88.625,10
88.667,10
88.708,10
88.75,10
88.792,10
88.833,10
88.875,10
88.917,10
88.958,10
89,10
89.042,10
89.083,10
89.125,10
89.167,10
89.208,10
89.25,10
89.292,10
89.333,10
89.375,10
89.417,10
89.458,10
89.5,10
89.542,10
89.583,10
89.625,10
89.667,10
89.708,10
89.75,10
89.792,10
89.833,10
89.875,10
89.917,10
89.958,10
90,10
90.042,10
90.083,10
90.125,10
90.167,10
90.208,10
90.25,10
90.292,10
90.333,10
90.375,10
90.417,10
90.458,10
90.5,10
90.542,10
90.583,10
90.625,10
90.667,10
90.708,10
90.75,10
90.792,10
90.833,10
90.875,10
90.917,10
90.958,10
91,10
91.042,10
91.083,10
91.125,10
91.167,10
91.208,10
91.25,10
91.292,10
91.333,10
91.375,10
91.417,10
91.458,10
91.5,10
91.542,10
91.583,10
91.625,10
91.667,10
91.708,10
91.75,10
91.792,10
91.833,10
91.875,10
91.917,10
91.958,10
92,10
92.042,10
92.083,10
92.125,10
92.167,10
92.208,10
92.25,10
92.292,10
92.333,10
92.375,10
92.417,10
92.458,10
92.5,10
92.542,10
92.583,10
92.625,10
92.667,10
92.708,10
92.75,10
92.792,10
92.833,10
92.875,10
92.917,10
92.958,10
93,10
93.042,10
93.083,10
93.125,10
93.167,10
93.208,10
93.25,10
93.292,10
93.333,10
93.375,10
93.417,10
93.458,10
93.5,10
93.542,10
93.583,10
93.625,10
93.667,10
93.708,10
93.75,10
93.792,10
93.833,10
93.875,10
93.917,10
93.958,10
94,10
94.042,10
94.083,10
94.125,10
94.167,10
94.208,10
94.25,10
94.292,10
94.333,10
94.375,10
94.417,10
94.458,10
94.5,10
94.542,10
94.583,10
94.625,10
94.667,10
94.708,10
94.75,10
94.792,10
94.833,10
94.875,10
94.917,10
94.958,10
95,10
95.042,10
95.083,10
95.125,10
95.167,10
95.208,10
95.25,10
95.292,10
95.333,10
95.375,10
95.417,10
95.458,10
95.5,10
95.542,10
95.583,10
95.625,10
95.667,10
95.708,10
95.75,10
95.792,10
95.833,10
95.875,10
95.917,10
95.958,10
96,10
96.042,10
96.083,10
96.125,10
96.167,10
96.208,10
96.25,10
96.292,10
96.333,10
96.375,10
96.417,10
96.458,10
96.5,10
96.542,10
96.583,10
96.625,10
96.667,10
96.708,10
96.75,10
96.792,10
96.833,10
96.875,10
96.917,10
96.958,10
97,10
97.042,10
97.083,10
97.125,10
97.167,10
97.208,10
97.25,10
97.292,10
97.333,10
97.375,10
97.417,10
97.458,10
97.5,10
97.542,10
97.583,10
97.625,10
97.667,10
97.708,10
97.75,10
97.792,10
97.833,10
97.875,10
97.917,10
97.958,10
98,10
98.042,10
98.083,10
98.125,10
98.167,10
98.208,10
98.25,10
98.292,10
98.333,10
98.375,10
98.417,10
98.458,10
98.5,10
98.542,10
98.583,10
98.625,10
98.667,10
98.708,10
98.75,10
98.792,10
98.833,10
98.875,10
98.917,10
